
IC3H5OH	C=C(C)O
TC3H6OHCHO	CC(C)(O)C=O
C3H6OOH1-3O2	[O]OCCCOO
CH2CCH2OH	C=[C]CO
TC3H6O2CHO	CC(C)(C=O)O[O]
C3H4-P	C#CC
C5H11O2H-2	CCCC(C)OO
C6H113-1	[CH2]CC=CCC
C6H12OOH3-4	CC[CH]C(CC)OO
C4H8OOH2-3O2	CC(O[O])C(C)OO
C5H92-5	[CH2]CC=CC
C7H133-7	[CH2]CCC=CCC
C5H92-4	C[CH]C=CC
C7H133-6	C[CH]CC=CCC
C7H133-5	CC[CH]C=CCC
C6H112-6	[CH2]CCC=CC
C6H111-4	C=CC[CH]CC
C3H6COC2H5-1	[CH2]CCC(=O)CC
C4H8COCH3-1	[CH2]CCCC(C)=O
C3H6COC2H5-2	C[CH]CC(=O)CC
C3H6COCH3-1	[CH2]CCC(C)=O
C6H101-3	C=CC=CCC
IC4H6OH	[CH2]C(=C)CO
IC4H7O	C=C(C)C[O]
C5H81-3	C=CC=CC
C2H3CHCHO	C=C[CH]C=O
NC4H9COCH2	[CH2]C(=O)CCCC
C4H8COCH3-3	CC[CH]CC(C)=O
NC3H7COC2H4S	C[CH]C(=O)CCC
C3H6CHO-1	[CH2]CCC=O
IC3H5CHO	C=C(C)C=O
AC3H5CO	C=CC[C]=O
C4H8CHO-3	CC[CH]CC=O
C6H11O1-4	C=CCC([O])CC
C6H111O2H-5	C=CCCC(C)OO
C6H112O2-5	CC=CCC(C)O[O]
C6H112O2H-5	CC=CCC(C)OO
C6H111O2-5	C=CCCC(C)O[O]
C4H8COCH3-4	CCCC=C(C)[O]
C7H15O2H-1	CCCCCCCOO
C6H111O2-6	C=CCCCCO[O]
C2H3COCH3	C=CC(C)=O
CH3CHOOCOCH3	CC(=O)C(C)O[O]
C6H111O2H-6	C=CCCCCOO
IC3H6CO	CC(C)=C=O
NC5H11CO	CCCCC[C]=O
C5H10CHO-4	CCC[CH]CC=O
C5H10CHO-2	C[CH]CCCC=O
C5H10CHO-5	CCCC[CH]C=O
C5H10CHO-1	[CH2]CCCCC=O
IC4H8O	[CH2]C(C)C[O]
C6H113O2H-2	CCC=CC(C)OO
C3H6COCH3-2	C[CH]CC(C)=O
C2H5COC2H3	C=CC(=O)CC
C6H112O2H-4	CC=CC(CC)OO
C3H6COCH3-3	CCC=C(C)[O]
C7H15O-4	CCCC([O])CCC

C7H13O1-3	C=CC([O])CCCC
C6H11O1-3	C=CC([O])CCC
C6H11O1-5	C=CCCC(C)[O]
C3H6CHO-3	CC[CH]C=O
OCH2OCHO	[O]COC=O

C2H3OOH	C=COO
C4H7O1-4	C=CCC[O]
C5H9O2-4	CC=CC(C)[O]
C3H5OH	C=CCO
C6H13O-1	CCCCCC[O]
C5H11O-3	CCC([O])CC
C7H15O-2	CCCCCC(C)[O]
C2H5CHCO	CCC=C=O
C5H81-4	C=CCC=C
HO2CH2OCHO	O=COCOO
TC4H9O2H	CC(C)(C)OO
C4H6CHO1-43	C=C[CH]CC=O
C4H7CO1-4	C=CCC[C]=O
C4H6CHO1-44	C=CC[CH]C=O
C6H111O2H-4	C=CCC(CC)OO
C6H113O2H-1	CCC=CCCOO
C6H112O2H-6	CC=CCCCOO
C5H11O-1	CCCCC[O]
C6H111O2-4	C=CCC(CC)O[O]
C6H11O2-4	CC=CC([O])CC
C6H113O2-1	CCC=CCCO[O]

HOCH2O2	[O]OCO
C7H13O2-4	CC=CC([O])CCC
C4H7OOH1-4	C=CCCOO
C3H6OOH1-2	C[CH]COO
C7H14OOH2-5	CC[CH]CCC(C)OO
C4H8OOH1-1	CCC[CH]OO
C4H8OOH2-2	CC[C](C)OO
PC2H4COC2H3	[CH2]CC(=O)C=C
C5H11O2H-3	CCC(CC)OO
C5H11O2H-1	CCCCCOO

C3H6OOH2-1O2	CC(CO[O])OO
C3H6OOH1-2O2	CC(COO)O[O]
C6H112O2-6	CC=CCCCO[O]
NC3H7COC2H4P	[CH2]CC(=O)CCC
C6H101-4	C=CCC=CC
C6H101-5	C=CCCC=C
SC2H4COC2H3	C=CC(=O)[CH]C
TC3H6OCHO	CC(C)([O])C=O
CH2CHOOHCOCH3	[CH2]C(OO)C(C)=O
C6H13O2H-1	CCCCCCOO

IC3H5CO	C=C(C)[C]=O
C4H8OOH1-2O2	CCC(COO)O[O]
C3H51-2,3OOH	[CH2]C(COO)OO
C3H52-1,3OOH	OOC[CH]COO
C4H8OOH2-4O2	CC(CCO[O])OO
C4H8OOH1-3O2	CC(CCOO)O[O]
C3KET21	CC(=O)COO
C4H8OOH1-4O2	[O]OCCCCOO
C3H6COC2H5-3	CC[CH]C(=O)CC
C4H8OOH1-3	C[CH]CCOO
C4H8OOH1-4	[CH2]CCCOO
C4H8OOH1-2	CC[CH]COO
C3KET12	CC(C=O)OO
C4H8OOH2-1O2	CCC(CO[O])OO
C4H7CO1-1	CCC=C[C]=O
C4H7O	C=CC(C)[O]
C7H13O3-5	CCC=CC([O])CC
C4H8OOH2-1	[CH2]C(CC)OO

C4H7CHO1-1	CCC=CC=O
C7H14OOH3-5	CC[CH]CC(CC)OO
C6H102-4	CC=CC=CC
C6H13O2H-3	CCCC(CC)OO
C7H15O2H-2	CCCCCC(C)OO
C7H15O-1	CCCCCCC[O]
C7H15O2H-4	CCCC(CCC)OO
C6H101OOH5-6	[CH2]C(CCC=C)OO
C6H102OOH5-4	CC=C[CH]C(C)OO

C6H101OOH4-3	C=C[CH]C(CC)OO
C6H101OOH4-5	C=CCC([CH]C)OO
C6H103OOH1-2	CCC=C[CH]COO
C6H102OOH5-6	[CH2]C(CC=CC)OO
C6H101OOH5-4	C=CC[CH]C(C)OO
C6H102OOH6-5	CC=CC[CH]COO
C4H6CHO1-13	C[CH]C=CC=O
C4H6CHO1-14	[CH2]CC=CC=O
C6H101OOH4-6	[CH2]CC(CC=C)OO
AC3H5OOH	C=CCOO
C6H101OOH4-5O2	C=CCC(OO)C(C)O[O]
NC4KET14	O=CCCCOO
C3H6OOH1-3	[CH2]CCOO
C4H8OOH2-4	[CH2]CC(C)OO

C6H101OOH6-5	C=CCC[CH]COO
C6H101OOH5-3	[CH2]C=CCC(C)OO
C6H101OOH6-3	[CH2]C=CCCCOO
C5H10OOH1-2	CCC[CH]COO
C5H10OOH3-2	C[CH]C(CC)OO
CHCHCHO	[CH]=CC=O
C7H14OOH2-5O2	CCC(CCC(C)OO)O[O]
C6H101OOH6-5O2	C=CCCC(COO)O[O]
C6H101OOH4-6O2	C=CCC(CCO[O])OO
C7H14OOH3-5O2	CCC(CC(CC)OO)O[O]
C6H102OOH5-6O2	CC=CCC(CO[O])OO
C5H10OOH1-2O2	CCCC(COO)O[O]
C5H10OOH3-2O2	CCC(OO)C(C)O[O]
C6H12OOH3-4O2	CCC(O[O])C(CC)OO
C6H102OOH6-5O2	CC=CCC(COO)O[O]
C6H101OOH5-6O2	C=CCCC(CO[O])OO
C6H101OOH3-4	C=CC([CH]CC)OO
VTHF	C=CC1CCCO1
C6H111O2-3	C=CC(CCC)O[O]
ETES1	CC=CCC1CO1
C6H102OOH6-4	CC=C[CH]CCOO
C5H10OOH2-4	C[CH]CC(C)OO
C6H101OOH5-4O2	C=CCC(O[O])C(C)OO
C6H101OOH3-4O2	C=CC(OO)C(CC)O[O]
C6H112O2-1	CCCC=CCO[O]
C5H10OOH2-4O2	CC(CC(C)OO)O[O]
SC3H5CO	CC=C[C]=O
C6H101OOH3-5	C=CC(C[CH]C)OO
C6H101OOH3-6	[CH2]CCC(C=C)OO
C6H101OOH6-4	C=CC[CH]CCOO
C6H12OOH1-2	CCCC[CH]COO
C6H12OOH2-3	CCC[CH]C(C)OO
C6H101OOH3-5O2	C=CC(CC(C)O[O])OO
C6H101OOH3-6O2	C=CC(CCCO[O])OO
C6H101OOH6-4O2	C=CCC(CCOO)O[O]
C6H12OOH1-2O2	CCCCC(COO)O[O]
C6H12OOH2-3O2	CCCC(O[O])C(C)OO
C6H103OOH1-2O2	CCC=CC(COO)O[O]
C7H14OOH1-3	CCCC[CH]CCOO
C7H14OOH3-6	C[CH]CCC(CC)OO
IC3H5O2HCHO	[CH2]C(C)(C=O)OO
C7H14OOH3-2	C[CH]C(CCCC)OO
C7H14OOH3-4	CCC[CH]C(CC)OO
C7H14OOH1-2	CCCCC[CH]COO
C7H14OOH2-3	CCCC[CH]C(C)OO
IC4H8O2H-T	C[C](C)COO
C7H14OOH2-1	[CH2]C(CCCCC)OO
C6H12OOH3-2	C[CH]C(CCC)OO
C2H4O1-2	C1CO1
C6H12OOH2-1	[CH2]C(CCCC)OO
TC4H8CHO	[CH2]C(C)(C)C=O
C4H8CHO-4	CCC[CH]C=O
C4H8CHO-1	[CH2]CCCC=O
C5H10OOH2-3	CC[CH]C(C)OO
C5H10OOH2-1	[CH2]C(CCC)OO
C7H14OOH4-3	CC[CH]C(CCC)OO
C6H12OOH2-4	CC[CH]CC(C)OO
C6H12OOH2-5	C[CH]CCC(C)OO
C6H12OOH2-6	[CH2]CCCC(C)OO
C3H6O1-2	CC1CO1
C5H10OOH1-4	C[CH]CCCOO
C6H103OOH2-1	[CH2]C(C=CCC)OO
C5H10OOH1-5	[CH2]CCCCOO
C6H113O2-2	CCC=CC(C)O[O]
C6H12OOH3-1	[CH2]CC(CCC)OO
C6H12OH-1	CCCC[CH]CO
C6H12OH-2	CCC[CH]C(C)O
C6H12OH-3	CC[CH]C(O)CC
C2H3O1-2	[CH]1CO1
C6H12OOH1-3	CCC[CH]CCOO
C7H14OOH3-2O2	CCCCC(OO)C(C)O[O]
C7H14OOH1-2O2	CCCCCC(COO)O[O]
C7H14OOH3-4O2	CCCC(O[O])C(CC)OO
C6H13O-3	CCCC([O])CC
O2C6H12OH-3	CCC(O)C(CC)O[O]
O2C6H12OH-2	CCCC(O[O])C(C)O
O2C6H12OH-1	CCCCC(CO)O[O]
C5H10OOH1-4O2	CC(CCCOO)O[O]
C6H12OOH2-6O2	CC(CCCCO[O])OO
C6H12OOH1-3O2	CCCC(CCOO)O[O]
C6H12OOH3-1O2	CCCC(CCO[O])OO
C6H103OOH2-1O2	CCC=CC(CO[O])OO
C5H10OOH1-5O2	[O]OCCCCCOO
C6H12OOH2-5O2	CC(CCC(C)OO)O[O]
C6H12OOH2-4O2	CCC(CC(C)OO)O[O]
C7H14OOH4-3O2	CCCC(OO)C(CC)O[O]
C5H10OOH2-3O2	CCC(O[O])C(C)OO
C6H12OOH2-1O2	CCCCC(CO[O])OO
C5H10OOH2-1O2	CCCC(CO[O])OO
C6H12OOH3-2O2	CCCC(OO)C(C)O[O]
C7H14OOH2-1O2	CCCCCC(CO[O])OO
C7H14OOH1-3O2	CCCCC(CCOO)O[O]
C7H14OOH3-6O2	CCC(CCC(C)O[O])OO
C7H14OOH2-3O2	CCCCC(O[O])C(C)OO

IC4H8OOH-TO2	CC(C)(COO)O[O]
NC4KET12	CCC(C=O)OO
NC4KET13	CC(CC=O)OO
NC4KET21	CCC(=O)COO
NC4KET23	CC(=O)C(C)OO
NC4KET24	CC(=O)CCOO
O2C4H8CHO	CC(C)(C=O)CO[O]
C7H14OOH4-1	[CH2]CCC(CCC)OO
C6H102OOH4-5	C[CH]C(C=CC)OO
TC4H9O	CC(C)(C)[O]
IC4H8OH	C[C](C)CO
O2HC4H8CO	CC(C)([C]=O)COO
C6H12OOH3-5	C[CH]CC(CC)OO
C5H9O1-3	C=CC([O])CC
C5H9O1-4	C=CCC(C)[O]
C6H112O2-4	CC=CC(CC)O[O]
C6H102OOH4-5O2	CC=CC(OO)C(C)O[O]
C6H102OOH4-6	[CH2]CC(C=CC)OO
C7H14OOH4-1O2	CCCC(CCCO[O])OO
C6H12OOH3-5O2	CCC(CC(C)O[O])OO
C6H102OOH4-6O2	CC=CC(CCO[O])OO
NC5KET32	CCC(=O)C(C)OO
NC5KET31	CCC(=O)CCOO
NC5KET25	CC(=O)CCCOO
NC5KET24	CC(=O)CC(C)OO
NC5KET23	CCC(OO)C(C)=O
NC5KET21	CCCC(=O)COO
NC5KET15	O=CCCCCOO
NC5KET14	CC(CCC=O)OO
NC5KET13	CCC(CC=O)OO
NC5KET12	CCCC(C=O)OO
NC6KET12	CCCCC(C=O)OO
NC6KET13	CCCC(CC=O)OO
NC6KET14	CCC(CCC=O)OO
NC6KET15	CC(CCCC=O)OO
